Date,Price,Open,High,Low,Vol.,Change %,Close
12/6/15,393.4,386.7,402.2,382.6,131.86K,1.73%,386.7
12/5/15,386.7,361.7,390.3,361.5,115.20K,6.92%,361.7
12/4/15,361.7,360.3,364.0,354.3,60.55K,0.38%,360.3
12/3/15,360.3,360.0,371.4,355.5,87.23K,0.09%,360.0
12/2/15,360.0,361.8,363.4,347.2,92.45K,-0.50%,361.8
12/1/15,361.8,378.0,379.0,353.7,111.91K,-4.28%,378.0
11/30/15,378.0,370.8,382.6,367.9,129.77K,1.92%,370.8
11/29/15,370.8,355.8,372.8,354.5,67.37K,4.22%,355.8
11/28/15,355.8,359.5,360.1,350.5,56.17K,-1.03%,359.5
11/27/15,359.5,353.7,363.9,345.1,103.48K,1.63%,353.7
11/26/15,353.7,327.5,368.9,327.4,211.38K,8.01%,327.5
11/25/15,327.5,318.4,330.0,315.7,77.68K,2.88%,318.4
11/24/15,318.4,322.1,323.3,315.5,50.66K,-1.17%,322.1
11/23/15,322.1,322.8,325.0,319.9,42.73K,-0.20%,322.8
11/22/15,322.8,324.7,326.9,319.4,36.75K,-0.59%,324.7
11/21/15,324.7,321.1,328.4,318.4,45.00K,1.11%,321.1
11/20/15,321.1,325.0,327.1,309.5,109.99K,-1.19%,325.0
11/19/15,325.0,335.9,335.6,323.4,86.38K,-3.26%,335.9
11/18/15,335.9,333.9,337.4,329.4,78.36K,0.60%,333.9
11/17/15,333.9,330.2,342.9,328.1,98.25K,1.12%,330.2
11/16/15,330.2,317.5,332.0,314.1,87.14K,4.02%,317.5
11/15/15,317.5,331.8,334.8,314.2,88.32K,-4.32%,331.8
11/14/15,331.8,333.8,369.8,326.4,71.11K,-0.60%,333.8
11/13/15,333.8,333.9,341.8,323.9,97.25K,-0.02%,333.9
11/12/15,333.9,304.7,346.1,306.1,164.61K,9.56%,304.7
11/11/15,304.7,336.7,341.8,292.4,263.96K,-9.50%,336.7
11/10/15,336.7,380.2,381.4,323.2,210.29K,-11.45%,380.2
11/9/15,380.2,371.6,385.1,360.2,125.54K,2.33%,371.6
11/8/15,371.6,385.1,389.8,365.5,94.36K,-3.51%,385.1
11/7/15,385.1,369.8,391.8,369.0,103.03K,4.13%,369.8
11/6/15,369.8,382.7,396.4,348.8,255.28K,-3.37%,382.7
11/5/15,382.7,400.9,447.2,366.1,302.95K,-4.54%,400.9
11/4/15,400.9,396.5,492.8,368.6,517.73K,1.11%,396.5
11/3/15,396.5,359.3,416.8,354.6,421.99K,10.36%,359.3
11/2/15,359.3,323.0,365.8,319.8,223.10K,11.25%,323.0
11/1/15,323.0,311.2,324.3,304.7,73.71K,3.76%,311.2
10/31/15,311.2,327.1,333.3,304.6,105.83K,-4.85%,327.1
